PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0001,489,62,2,0,2,G20PRERTRU,102293
0002,1637,512,30,4,3,G20PRERTRU,102293
0010,970,245,26,0,0,G20PRERTRU,102293
0001,942,208,9,1,3,G20PRERTRU,102293
0017,1215,247,16,3,0,G20PRERTRU,102293
0020,1857,777,31,4,0,G20PRERTRU,102293
0104,1676,1094,73,11,6,G20PRERTRU,102293
0414,287,19,2,0,0,G20PRERTRU,102293
0415,164,19,2,0,0,G20PRERTRU,102293
0012,514,75,4,0,0,G20PRERTRU,102293
0021,1067,208,3,1,0,G20PRERTRU,102293
0023,1520,251,14,2,0,G20PRERTRU,102293
0023,625,103,5,4,2,G20PRERTRU,102293
0005,100,19,2,5,2,G20PRERTRU,102293
0004,92,25,2,4,2,G20PRERTRU,102293
0012,159,10,3,2,1,G20PRERTRU,102293
0022,625,127,14,5,2,G20PRERTRU,102293
0007,886,185,11,2,3,G20PRERTRU,102293
0003,684,121,10,1,2,G20PRERTRU,102293
0007,449,78,4,1,0,G20PRERTRU,102293
0002,503,108,4,2,3,G20PRERTRU,102293
0004,350,51,3,0,0,G20PRERTRU,102293
0009,530,107,5,0,0,G20PRERTRU,102293
0008,1322,322,22,3,3,G20PRERTRU,102293
0005,980,243,6,1,0,G20PRERTRU,102293
0006,774,168,5,1,2,G20PRERTRU,102293
0006,377,119,9,1,0,G20PRERTRU,102293
0014,358,62,4,1,0,G20PRERTRU,102293
0102,875,114,6,1,1,G20PRERTRU,102293
0416,860,809,33,12,5,G20PRERTRU,102293
0103,218,30,3,0,0,G20PRERTRU,102293
0413,1358,318,18,6,4,G20PRERTRU,102293
0308,2316,432,34,6,2,G20PRERTRU,102293
0206,638,610,44,3,5,G20PRERTRU,102293
0101,2061,1534,77,14,9,G20PRERTRU,102293
0005,351,48,2,0,0,G20PRERTRU,102293
0004,1133,363,12,3,0,G20PRERTRU,102293
0002,475,177,10,1,0,G20PRERTRU,102293
0006,252,48,0,0,0,G20PRERTRU,102293
0003,358,388,12,3,0,G20PRERTRU,102293
0013,1541,279,11,2,0,G20PRERTRU,102293
0008,206,33,0,1,0,G20PRERTRU,102293
0020,659,95,11,1,0,G20PRERTRU,102293
0027,493,73,1,0,0,G20PRERTRU,102293
0019,240,48,1,0,0,G20PRERTRU,102293
0022,932,200,4,5,0,G20PRERTRU,102293
0012,1737,420,23,5,0,G20PRERTRU,102293
0005,2365,712,33,4,3,G20PRERTRU,102293
0011,2223,555,25,3,1,G20PRERTRU,102293
0006,338,70,4,1,0,G20PRERTRU,102293
0027,1551,230,17,2,0,G20PRERTRU,102293
0009,976,289,15,4,0,G20PRERTRU,102293
0004,760,179,21,0,0,G20PRERTRU,102293
0005,418,63,3,1,0,G20PRERTRU,102293
0232,3163,3168,86,11,21,G20PRERTRU,102293
0346,3101,2025,48,7,11,G20PRERTRU,102293
0359,2419,2557,59,11,14,G20PRERTRU,102293
0002,1207,234,14,4,3,G20PRERTRU,102293
0004,1012,177,12,0,3,G20PRERTRU,102293
0002,2979,781,51,7,1,G20PRERTRU,102293
0029,720,158,10,4,0,G20PRERTRU,102293
0031,873,189,7,4,0,G20PRERTRU,102293
0013,1142,266,13,5,0,G20PRERTRU,102293
0238,61,175,2,0,1,G20PRERTRU,102293
0036,438,195,8,1,0,G20PRERTRU,102293
0010,1927,600,44,4,1,G20PRERTRU,102293
0018,1911,651,28,6,0,G20PRERTRU,102293
0003,953,293,20,2,0,G20PRERTRU,102293
0002,2045,435,20,6,0,G20PRERTRU,102293
0367,1892,4041,94,13,25,G20PRERTRU,102293
0304,1062,2501,58,10,15,G20PRERTRU,102293
0152,159,2891,13,17,10,G20PRERTRU,102293
0306,1784,1329,30,8,9,G20PRERTRU,102293
0319,1206,937,28,7,9,G20PRERTRU,102293
0320,1018,816,17,3,3,G20PRERTRU,102293
0133,203,1726,23,7,5,G20PRERTRU,102293
0014,309,42,1,2,0,G20PRERTRU,102293
0017,1553,556,27,5,0,G20PRERTRU,102293
0009,690,106,2,0,0,G20PRERTRU,102293
0021,994,189,4,3,0,G20PRERTRU,102293
0024,850,180,11,0,0,G20PRERTRU,102293
0028,1166,272,14,3,0,G20PRERTRU,102293
0022,1850,762,36,6,0,G20PRERTRU,102293
0033,762,154,14,1,0,G20PRERTRU,102293
0016,327,79,4,0,0,G20PRERTRU,102293
0019,3366,989,44,10,0,G20PRERTRU,102293
0020,449,293,13,4,0,G20PRERTRU,102293
0132,201,2064,20,12,3,G20PRERTRU,102293
0206,190,1125,23,11,7,G20PRERTRU,102293
0003,2461,813,32,6,1,G20PRERTRU,102293
0034,1150,411,20,1,0,G20PRERTRU,102293
0338,1051,863,20,4,0,G20PRERTRU,102293
0442,1220,1466,38,8,1,G20PRERTRU,102293
0448,929,662,24,4,0,G20PRERTRU,102293
0443,1761,1683,48,6,3,G20PRERTRU,102293
0444,1335,1043,27,3,1,G20PRERTRU,102293
0446,987,940,40,6,0,G20PRERTRU,102293
0445,931,866,30,1,0,G20PRERTRU,102293
