District,Year,Similarity to District 22 (Texas) in 2022
"Congressional District 42 (116th Congress), California",2020,0.8861449766058771
"Congressional District 10 (116th Congress), Virginia",2020,0.8812349847682722
"Congressional District 22 (116th Congress), Texas",2020,0.8777809648797771
"Congressional District 6 (116th Congress), Colorado",2020,0.8489713341379538
"Congressional District 6 (116th Congress), Maryland",2020,0.8094017870854469
"Congressional District 26 (116th Congress), Texas",2020,0.8019344461129566
"Congressional District 7 (116th Congress), Georgia",2020,0.8010598029301318
"Congressional District 3 (116th Congress), Texas",2020,0.8007597834511077
"Congressional District 2 (116th Congress), Texas",2020,0.7970797580009803
"Congressional District 10 (116th Congress), Texas",2020,0.796338120513524
"Congressional District 8 (116th Congress), Washington",2020,0.7846404147040579
"Congressional District 11 (116th Congress), Virginia",2020,0.7825475950056601
"Congressional District 1 (116th Congress), Virginia",2020,0.75006936418253
"Congressional District 10 (115th Congress), Virginia",2016,0.745935792155853
"Congressional District 1 (116th Congress), Washington",2020,0.7450682455223755
"Congressional District 15 (116th Congress), California",2020,0.7254205001299865
"Congressional District 4 (116th Congress), Colorado",2020,0.707165000332956
"Congressional District 31 (116th Congress), Texas",2020,0.7029693500208246
"Congressional District 6 (116th Congress), Georgia",2020,0.6936199275621319
"Congressional District 22 (115th Congress), Texas",2016,0.6889500431209086
"Congressional District 4 (116th Congress), Utah",2020,0.6887150954919464
"Congressional District 19 (116th Congress), California",2020,0.6870140427923751
"Congressional District 5 (116th Congress), Arizona",2020,0.6775068177586777
"Congressional District 11 (115th Congress), Virginia",2016,0.6763979142397999
"Congressional District 25 (116th Congress), Texas",2020,0.6755391820552666
"Congressional District 3 (116th Congress), Kansas",2020,0.6727802951295864
"Congressional District 8 (116th Congress), Texas",2020,0.6713924193366543
"Congressional District 50 (116th Congress), California",2020,0.6650115994753882
"Congressional District 11 (116th Congress), Illinois",2020,0.662511559925828
"Congressional District 1 (116th Congress), Oregon",2020,0.6592659370281712
"Congressional District 17 (116th Congress), New York",2020,0.6539707313192047
"Congressional District 25 (116th Congress), California",2020,0.6460236068986921
"Congressional District 3 (115th Congress), Texas",2016,0.6426038040712121
"Congressional District 2 (116th Congress), North Carolina",2020,0.6423179285590229
"Congressional District 14 (116th Congress), Illinois",2020,0.641048435289837
"Congressional District 10 (116th Congress), Illinois",2020,0.6373839158271086
"Congressional District 7 (115th Congress), Georgia",2016,0.6372428110351259
"Congressional District 11 (116th Congress), California",2020,0.6342483773539052
"Congressional District 8 (116th Congress), Maryland",2020,0.6304523184207603
"Congressional District 18 (116th Congress), California",2020,0.6302876555447664
"Congressional District 6 (116th Congress), Texas",2020,0.6300115161512257
"Congressional District 45 (116th Congress), California",2020,0.6228796050469998
"Congressional District 7 (116th Congress), Virginia",2020,0.6163385202086769
"Congressional District 17 (116th Congress), California",2020,0.6132138512005977
"Congressional District 2 (116th Congress), Utah",2020,0.6127809185895317
"Congressional District 3 (116th Congress), Massachusetts",2020,0.6121561664104721
"Congressional District 7 (116th Congress), Colorado",2020,0.6111839134464379
"Congressional District 8 (116th Congress), Illinois",2020,0.5964609548594757
"Congressional District 12 (116th Congress), Texas",2020,0.5934898439658671
"Congressional District 6 (115th Congress), Colorado",2016,0.5929924440146297
